iddoc,context,range,text,category,annotation
776_123,"Deux saisons à oublier...
Pour cette saison 91-92, l'ol espère gravir encore les marches de son irrésistible ascension!","{'beg': 53, 'end': 55}",ol,['neu'],False
990_110,('aside ul');,"{'beg': 8, 'end': 10}",ul,['neu'],False
1187_57,<ul type> <ol start type='1 A I'> <li> <dl> <dt> <dd> <h2 id='jump-*'> <h3 id>,"{'beg': 1, 'end': 3}",ul,['neu'],False
1187_57,<ul type> <ol start type='1 A I'> <li> <dl> <dt> <dd> <h2 id='jump-*'> <h3 id>,"{'beg': 11, 'end': 13}",ol,['neu'],False
1353_2,"vert gratuit , ex de cv stage bts ol , exemple cv agent","{'beg': 34, 'end': 36}",ol,['neu'],False
1500_449,"Je vais en ft ille & données ne serez alors intéressant pour telle sont équipés de la palangre, pour faire leur idéologie moyenâgeuse de la totalité.","{'beg': 14, 'end': 18}",ille,['neu'],False
1685_10,Vous pourriez avoir envie de réagir pour <ul> <li>indiquer une erreur ou un changement ;,"{'beg': 42, 'end': 44}",ul,['neu'],False
2415_16,"dans : Société
Le pronom « iel » fait son apparition dans le dictionnaire Le Robert
25 novembre 2021, 3 h 54 min
La Chine veut réprimander les parents en cas de mauvais comportement de leur enfant
18 novembre 2021, 11 h 35 min
Corée du Sud : une querelle générationnelle sur fond de « Squid Game »
18 novembre 2021, 11 h 35 min
Inde : le nombre de personnes décédées chaque année est un mystère
18 octobre 2021, 18 h 45 min
En Chine aussi, des femmes préfèrent « louer des hommes » pour un temps limité
18 octobre 2021, 18 h 45 min
La Californie veut rémunérer les toxicomanes pour les faire décrocher
18 octobre 2021, 18 h 45 min
C’est tout chaud !
","{'beg': 27, 'end': 30}",iel,['neu'],
2415_17,"Le pronom « iel » fait son apparition dans le dictionnaire Le Robert
25 novembre 2021, 3 h 54 min
La Chine veut réprimander les parents en cas de mauvais comportement de leur enfant
18 novembre 2021, 11 h 35 min
Corée du Sud : une querelle générationnelle sur fond de « Squid Game »
18 novembre 2021, 11 h 35 min
Quels sont les parcs d’attractions les plus fréquentés en France ?
15 novembre 2021, 19 h 39 min
Essayer avant d’acheter : une tendance qui s’élargit
28 octobre 2021, 15 h 35 min
Inde : le nombre de personnes décédées chaque année est un mystère
18 octobre 2021, 18 h 45 min
CitizenPost est un magazine qui décrypte les nouvelles tendances de consommation en matière d’alimentation, de beauté ou encore d’environnement.","{'beg': 12, 'end': 15}",iel,['neu'],
2544_9,"Derniers articles
Contagiosité, vaccins, présence en Europe... Tout ce qu'il faut savoir sur le variant Omicron
L'urgence d'une taxe sur le kérosène pour l'aérien, par Aurélien Saussay
À découvrir
L'Express Canada
Idées
Dossiers à la une
Les chroniques de Nicolas BouzouLes chroniques de Marion Van RenterghemRaphaël Enthoven
Derniers articles
Tribune
Variant Omicron : l'égoïsme et l'aveuglement nous mènent à l'abîme, par le Pr Gilbert Deray
Entretien
Michel Foucher : ""On n'est pas citoyen du monde, mais du pays où l'on vote""
Chronique
Pronom ""iel"" : La langue française, arme de confrontation massive, par Marylin Maeso
Votre Argent
Rubriques
Placements","{'beg': 548, 'end': 551}",iel,['neu'],
2544_113,"Quatre scientifiques nous répondent
Opinions
Chronique
L'urgence d'une taxe sur le kérosène pour l'aérien, par Aurélien Saussay
Aurélien Saussay, économiste de l'environnement à la London School of Economics
Chronique
Pronom ""iel"" : La langue française, arme de confrontation massive, par...
par Marylin Maeso
Chronique
De quel droit censure-t-on un écrivain à titre posthume ?","{'beg': 226, 'end': 229}",iel,['neu'],
3354_0,Vous pourriez avoir envie de réagir pour <ul> <li>indiquer une erreur ou un changement ;,"{'beg': 42, 'end': 44}",ul,['neu'],False
3355_14,Vous pourriez avoir envie de réagir pour <ul> <li>indiquer une erreur ou un changement ;,"{'beg': 42, 'end': 44}",ul,['neu'],False
3511_97,('aside ul');,"{'beg': 8, 'end': 10}",ul,['neu'],False
3679_105,Je vais y copié-collé cet échange et mettre le lien ici pour celleux qui voudraient suivre.,"{'beg': 61, 'end': 68}",celleux,['neu'],True
4104_36,"Pour un portefeuille moyen, ces boutiques sur ul.","{'beg': 46, 'end': 48}",ul,['neu'],False
5871_164,"doit-on dire "" iel est belle ou iel est beau ?","{'beg': 15, 'end': 18}",iel,['neu'],True
