sample_id,text,tokens,spans,labels
12_2,"Que ce soit pour la fête de votre ami(e) ou d'un membre de votre famille, un accouchement, un déménagement, un nouvel emploi, etc.","['Que', 'ce', 'soit', 'pour', 'la', 'fête', 'de', 'votre', 'ami(e)', 'ou', ""d'"", 'un', 'membre', 'de', 'votre', 'famille', ',', 'un', 'accouchement', ',', 'un', 'déménagement', ',', 'un', 'nouvel', 'emploi', ',', 'etc.']","[(34, 40)]",[['fle']]
27_15,"L’aide à domicile peut comporter, ensemble ou séparément :
L’aide d’un(e) technicien(ne) de l’intervention sociale et familiale (TISF), qui doit accompagner la famille rencontrant des difficultés éducatives et sociales, ou d’une aide-ménagère.
","['L’', 'aide', 'à', 'domicile', 'peut', 'comporter', ',', 'ensemble', 'ou', 'séparément', ':', '\n', 'L’', 'aide', 'd’', 'un(e)', 'technicien(ne)', 'de', 'l’', 'intervention', 'sociale', 'et', 'familiale', '(', 'TISF', ')', ',', 'qui', 'doit', 'accompagner', 'la', 'famille', 'rencontrant', 'des', 'difficultés', 'éducatives', 'et', 'sociales', ',', 'ou', 'd’', 'une', 'aide-ménagère', '.', '\n']","[(74, 88)]",[['fle']]
39_6,"Vous n’êtes pas autorisé(e) à consulter les sujets de ce forum.
","['Vous', 'n’', 'êtes', 'pas', 'autorisé(e)', 'à', 'consulter', 'les', 'sujets', 'de', 'ce', 'forum', '.', '\n']","[(16, 27)]",[['fle']]
44_52,"Vous ne payez aucun frais fixe sur les fonctions de base (0€ au lieu de 24€), réalisez d'importantes économies si vous activez l'option Channel Manager (26€ au lieu de 49€ par mois) et utilisez le générateur de site (36€ au lieu de 59€ par mois).
Est-ce que je suis accompagné(e) ?","['Vous', 'ne', 'payez', 'aucun', 'frais', 'fixe', 'sur', 'les', 'fonctions', 'de', 'base', '(', '0', '€', 'au', 'lieu', 'de', '24', '€', ')', ',', 'réalisez', ""d'"", 'importantes', 'économies', 'si', 'vous', 'activez', ""l'"", 'option', 'Channel', 'Manager', '(', '26', '€', 'au', 'lieu', 'de', '49', '€', 'par', 'mois', ')', 'et', 'utilisez', 'le', 'générateur', 'de', 'site', '(', '36', '€', 'au', 'lieu', 'de', '59', '€', 'par', 'mois', ')', '.', '\n', 'Est', '-ce', 'que', 'je', 'suis', 'accompagné(e)', '?']","[(266, 279)]",[['fle']]
44_53,"Vous serez accompagné(e) à tout moment par nos équipes ou celles d'elloha, de la création de votre compte jusqu'au paramètrage de vos prix ou pour toute question liée à l'utilisation de la plateforme.
","['Vous', 'serez', 'accompagné(e)', 'à', 'tout', 'moment', 'par', 'nos', 'équipes', 'ou', 'celles', ""d'"", 'elloha', ',', 'de', 'la', 'création', 'de', 'votre', 'compte', ""jusqu'"", 'au', 'paramètrage', 'de', 'vos', 'prix', 'ou', 'pour', 'toute', 'question', 'liée', 'à', ""l'"", 'utilisation', 'de', 'la', 'plateforme', '.', '\n']","[(11, 24)]",[['fle']]
65_9,"Share Imprimer Tweet
La fusion des caisses de pension publiques CIA et CEH qui est soumise à la sagacité des électrices et électeurs genevois le 3 mars prochain représente un véritable défi à 800 millions de francs cash : le bon sens, le pragmatisme, le OUI, sauront-","['Share', 'Imprimer', 'Tweet', '\n', 'La', 'fusion', 'des', 'caisses', 'de', 'pension', 'publiques', 'CIA', 'et', 'CEH', 'qui', 'est', 'soumise', 'à', 'la', 'sagacité', 'des', 'électrices', 'et', 'électeurs', 'genevois', 'le', '3', 'mars', 'prochain', 'représente', 'un', 'véritable', 'défi', 'à', '800', 'millions', 'de', 'francs', 'cash', ':', 'le', 'bon', 'sens', ',', 'le', 'pragmatisme', ',', 'le', 'OUI', ',', 'sauront-']","[(109, 132)]",[['coo']]
65_27,"Le Syndicat Unia
Le SIT, Syndicat interprofessionnel de travailleuses et travailleurs
Pour connaître, écouter, voir et protéger les oiseaux en Suisse romande
Observations d'oiseaux en Suisse : où voir des oiseaux, rares ou non...
Pour protéger la nature en Suisse, conserver des biotopes, des espèces...
Pour protéger la nature en Suisse et ailleurs, conserver des biotopes, des espèces...
Découvrez les phénomènes physiques, les ondes, les forces dans un endroit magnifique
L'Aubier, pour un petit week-end de paix et d'harmonie...
Terre vivante, un magnifique lieu dans le Vercors
Vivre avec le loup, c'est possible...
Reporterre.net","['Le', 'Syndicat', 'Unia', '\n', 'Le', 'SIT', ',', 'Syndicat', 'interprofessionnel', 'de', 'travailleuses', 'et', 'travailleurs', '\n', 'Pour', 'connaître', ',', 'écouter', ',', 'voir', 'et', 'protéger', 'les', 'oiseaux', 'en', 'Suisse', 'romande', '\n', 'Observations', ""d'"", 'oiseaux', 'en', 'Suisse', ':', 'où', 'voir', 'des', 'oiseaux', ',', 'rares', 'ou', 'non', '...', '\n', 'Pour', 'protéger', 'la', 'nature', 'en', 'Suisse', ',', 'conserver', 'des', 'biotopes', ',', 'des', 'espèces', '...', '\n', 'Pour', 'protéger', 'la', 'nature', 'en', 'Suisse', 'et', 'ailleurs', ',', 'conserver', 'des', 'biotopes', ',', 'des', 'espèces', '...', '\n', 'Découvrez', 'les', 'phénomènes', 'physiques', ',', 'les', 'ondes', ',', 'les', 'forces', 'dans', 'un', 'endroit', 'magnifique', '\n', ""L'"", 'Aubier', ',', 'pour', 'un', 'petit', 'week-end', 'de', 'paix', 'et', ""d'"", 'harmonie', '...', '\n', 'Terre', 'vivante', ',', 'un', 'magnifique', 'lieu', 'dans', 'le', 'Vercors', '\n', 'Vivre', 'avec', 'le', 'loup', ',', ""c'"", 'est', 'possible', '...', '\n', 'Reporterre.net']","[(56, 85)]",[['coo']]
69_41,Les membres du SCFP croient que les travailleurs et les travailleuses ont le droit fondamental de prendre leur retraite dans la dignit 0065t avec une certaine sc0075rit 0066inancir0065.,"['Les', 'membres', 'du', 'SCFP', 'croient', 'que', 'les', 'travailleurs', 'et', 'les', 'travailleuses', 'ont', 'le', 'droit', 'fondamental', 'de', 'prendre', 'leur', 'retraite', 'dans', 'la', 'dignit', '0065', 't', 'avec', 'une', 'certaine', 'sc0075rit', '0066inancir0065', '.']","[(36, 69)]",[['coo']]
69_46,"Ces efforts ardus sinscrivent dans un projet 006cong terme, dont nous savons trs0020bien quil est loin dt0072e termin.0020Avec seulement 40 % des travailleuses et travailleurs qui sont protgs par un rg0069me de retraite au travail, et beaucoup (surtout des femmes cl0069bataires) qui se retrouvent dans la pauvret leur retraite, il nous reste bien du pain sur la planche.
","['Ces', 'efforts', 'ardus', 'sinscrivent', 'dans', 'un', 'projet', '006cong', 'terme', ',', 'dont', 'nous', 'savons', 'trs0020bien', 'quil', 'est', 'loin', 'dt0072e', 'termin.0020Avec', 'seulement', '40', '%', 'des', 'travailleuses', 'et', 'travailleurs', 'qui', 'sont', 'protgs', 'par', 'un', 'rg0069me', 'de', 'retraite', 'au', 'travail', ',', 'et', 'beaucoup', '(', 'surtout', 'des', 'femmes', 'cl0069bataires', ')', 'qui', 'se', 'retrouvent', 'dans', 'la', 'pauvret', 'leur', 'retraite', ',', 'il', 'nous', 'reste', 'bien', 'du', 'pain', 'sur', 'la', 'planche', '.', '\n']","[(146, 175)]",[['coo']]
69_58,Le gouvernement soutient que les Ontariennes et Ontariens plus gs veulent continuer doccuper un emploi rm0075nr et que les immigrants rc0065nts et les femmes doivent travailler plus longtemps car ils sont incapables datteindre la sc0075rit 0066inancir0065 avant lg0065 de 65 ans.,"['Le', 'gouvernement', 'soutient', 'que', 'les', 'Ontariennes', 'et', 'Ontariens', 'plus', 'gs', 'veulent', 'continuer', 'doccuper', 'un', 'emploi', 'rm0075nr', 'et', 'que', 'les', 'immigrants', 'rc0065nts', 'et', 'les', 'femmes', 'doivent', 'travailler', 'plus', 'longtemps', 'car', 'ils', 'sont', 'incapables', 'datteindre', 'la', 'sc0075rit', '0066inancir0065', 'avant', 'lg0065', 'de', '65', 'ans', '.']","[(33, 57)]",[['coo']]
