iddoc,context,range,text,category,annotation
885_24,")
Certains en profite malgre jaillir ensuite voir les camarade.e.s sans avoir de intention,","{'beg': 54, 'end': 66}",camarade.e.s,UNKNOWN,True
887_26,"Fixez les sangles sur un support PVC standard, à l’aide d’un tournevis inox à bord droit, standard 6 X 120 mm, pour le modelage.","{'beg': 107, 'end': 109}",mm,UNKNOWN,False
887_32,"Au niveau de l’âme, inspectez le pipeline et réparez-le si nécessaire avec un maillet.
Comment poser des tuiles pour gazon : pose Recouvrez vos tuiles pour les rendre plus adaptées au sable.","{'beg': 45, 'end': 55}",réparez-le,UNKNOWN,False
887_43,"Placer les plaques, selon le patron, sur la largeur de 3â € 5 5 cm de dunes de sable / 0â € 5 mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm revêtement revêtement revêtement vel vel vel vel Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais Épais.","{'beg': 94, 'end': 147}",mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm mm,UNKNOWN,False
888_28,"Si vous ne savez pas quelle catégorie choisir, envoyez-nous un e-mail à l'adresse website-content@tableau.com.
Contenu Web : À propos
Contenu Web : Communauté
Contenu Web : Ressources
Contenu Web : Produits
Contenu Web : Témoignages clients
Contenu Web : Assistance
Problèmes de connexion au site ?
Nous vous conseillons tout d'abord de réinitialiser le mot de passe de votre compte tableau.com.","{'beg': 54, 'end': 69}",-nous un e-mail,UNKNOWN,False
888_35,"Si vous pensez que tel est le cas, envoyez-nous un e-mail à l'adresse website-content@tableau.com.
La vidéo ne fonctionne pas/Mon écran est noir/J'ai reçu un message d'erreur
Il se peut que votre réseau bloque le contenu de Brightcove, qui héberge nos vidéos.","{'beg': 35, 'end': 57}",envoyez-nous un e-mail,UNKNOWN,False
888_49,"Si vous êtes bloqué, envoyez-nous un e-mail à l'adresse marketing-webteam@tableau.com.
","{'beg': 21, 'end': 43}",envoyez-nous un e-mail,UNKNOWN,False
889_2,"Le karma c’est quoi?
J’ai passé de nombreuses années à comprendre ce qu’est le karma et surtout comment le libérer mais avant de vous expliquez tout cela il est nécessaire de faire un point important sur la nature de notre être.
,Avec la pratique du Bardo Thödröl ainsi que le yoga du rêve et du sommeil tibétain de la branche Bön j’ai pu comprendre, puis expérimenter ce qu’est le karma.
","{'beg': 35, 'end': 65}",nombreuses années à comprendre,UNKNOWN,False
889_24,"Ainsi que de laisser émerger par l’observation silencieuse: la vacuité.
La méditation sur la vacuité et la pleine conscience vous aidera beaucoup pour que vous puissiez faire l’expérience de votre véritable nature.
Et tout cela se trouve dans le seul moment réel: le moment présent.
Merci pour votre lecture à bientôt.
Avec le Cœur, Ours Sauvage
Mitakuyé Oyasin
Ps: j’ai traité le Karma sous un angle d’un point de vue « humain »
It's only fair to share...
Facebook
Twitter
Linkedin
Pinterest
email
Print
Digg
Previous Post Next
About The Author
ourssauvage
Leave","{'beg': 505, 'end': 509}",Digg,UNKNOWN,False
891_14,"Clément, quant à lui, après l’institut Paul Bocuse, a fait ses classes dans d’illustres maisons en France et dans le monde dont Le Connaught à Londres et le Kilimandjaro à Courchevel.","{'beg': 131, 'end': 169}",Connaught à Londres et le Kilimandjaro,UNKNOWN,False
